,mu,sigma,trials,cluster size,decision,alpha,tau,epsilon,clustering,labels,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas,mut inf scr1,adj mis1,norm mis1,adj rand s1,complet1,homogen1,vmeas1
65,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,aff_esk_sim,[0 1 1 0 1 0 0 0 1 1 2 1 1 1 2 3 4 1 1 1],0.31419,0.1663,0.34376,0.10135,0.26069,0.45328,0.33101,4.0,5.0,5.0,17.0,4.0,4.0,3.0
66,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,spect_lin_sim,[1 0 0 1 0 1 1 1 0 0 0 0 0 0 0 1 1 0 0 0],0.05067,0.0348,0.07564,0.04422,0.07826,0.0731,0.0756,30.0,26.0,36.0,23.0,36.0,30.0,36.0
67,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,aff_lin_sim,[0 2 2 0 2 0 0 0 2 2 1 2 2 2 1 0 3 2 2 2],0.17902,0.08184,0.20787,0.05053,0.1673,0.25828,0.20307,12.0,19.0,13.0,20.0,14.0,12.0,11.0
68,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,comp_hr_esk_dis,[1 0 0 1 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0],0.10175,0.1109,0.15637,0.12115,0.16657,0.14679,0.15606,17.0,8.0,14.0,5.0,15.0,17.0,14.0
69,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,avg_hr_esk_dis,[1 0 0 1 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0],0.10175,0.1109,0.15637,0.12115,0.16657,0.14679,0.15606,17.0,8.0,14.0,5.0,15.0,17.0,14.0
70,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,comp_hr_lin_din,[0 1 1 0 1 0 0 0 1 1 1 1 1 1 1 0 0 1 1 1],0.05067,0.0348,0.07564,0.04422,0.07826,0.0731,0.0756,30.0,21.0,36.0,23.0,36.0,30.0,36.0
71,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,avg_hr_lin_dis,[0 1 1 0 1 0 0 0 1 1 1 1 1 1 1 0 0 1 1 1],0.05067,0.0348,0.07564,0.04422,0.07826,0.0731,0.0756,30.0,21.0,36.0,23.0,36.0,30.0,36.0
72,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,spect_edr,[1 1 1 0 0 0 0 0 0 1 1 0 0 0 1 1 1 1 0 0],0.00506,-0.03311,0.00733,-0.04442,0.00735,0.0073,0.00733,49.0,48.0,49.0,50.0,49.0,49.0,49.0
73,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,aff_edr,[ 1  6 11  0  1  2  3  4  5  6  7  8  9 10 11  7  4  6 12 13],0.45904,-0.00615,0.34503,-0.00699,0.17976,0.66226,0.28276,3.0,44.0,4.0,44.0,13.0,3.0,5.0
74,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,spectral bad warp,[0 1 1 0 1 0 0 0 1 1 1 1 1 1 1 0 1 1 1 1],0.10175,0.1109,0.15637,0.12115,0.16657,0.14679,0.15606,17.0,7.0,14.0,5.0,15.0,17.0,14.0
75,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,affinity bad warp,[0 2 1 0 2 0 0 0 2 2 1 2 2 2 1 1 1 2 2 2],0.23154,0.17684,0.27274,0.13296,0.2227,0.33404,0.26723,8.0,4.0,8.0,3.0,6.0,8.0,8.0
76,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,PCA bad euclid,[1 0 0 1 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0],0.10175,0.1109,0.15637,0.12115,0.16657,0.14679,0.15606,17.0,8.0,14.0,5.0,15.0,17.0,14.0
77,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,spectral bad eucsim,[1 0 0 1 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0],0.10175,0.1109,0.15637,0.12115,0.16657,0.14679,0.15606,17.0,8.0,14.0,5.0,15.0,17.0,14.0
78,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,affinity bad eucsim,[0 3 1 0 3 0 0 0 3 3 1 3 3 3 1 0 2 3 3 3],0.126,0.02794,0.14161,0.04625,0.11032,0.18177,0.13731,14.0,31.0,27.0,21.0,32.0,14.0,27.0
79,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,spectral bad cosine,[1 0 0 1 0 1 1 1 0 0 0 0 0 0 0 1 1 0 0 0],0.05067,0.0348,0.07564,0.04422,0.07826,0.0731,0.0756,30.0,26.0,36.0,23.0,36.0,30.0,36.0
80,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,affinity bad cosine,[1 0 0 1 0 1 1 1 2 0 0 0 0 3 0 1 1 0 0 0],0.12324,0.02639,0.14833,0.04255,0.12375,0.17779,0.14593,16.0,33.0,26.0,31.0,31.0,16.0,26.0
81,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,spectral bad rbf,[1 0 0 1 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0],0.10175,0.1109,0.15637,0.12115,0.16657,0.14679,0.15606,17.0,8.0,14.0,5.0,15.0,17.0,14.0
82,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,affinity bad rbf,[0 3 1 0 3 0 0 0 3 3 1 3 3 3 1 0 2 3 3 3],0.126,0.02794,0.14161,0.04625,0.11032,0.18177,0.13731,14.0,31.0,27.0,21.0,32.0,14.0,27.0
83,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,spectral bad edr,[1 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0],0.21576,0.28139,0.34559,0.21918,0.38369,0.31128,0.34371,9.0,1.0,3.0,2.0,1.0,9.0,2.0
84,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,affinity bad edr,[0 1 3 2 1 0 2 2 1 3 1 4 4 4 1 1 4 4 4 4],0.4852,0.26301,0.48007,0.27299,0.32924,0.7,0.44784,2.0,2.0,1.0,1.0,2.0,2.0,1.0
85,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,kmeans badset,[1 0 0 1 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0],0.10175,0.1109,0.15637,0.12115,0.16657,0.14679,0.15606,17.0,8.0,14.0,5.0,15.0,17.0,14.0
86,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,complete badset,[1 0 0 1 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0],0.10175,0.1109,0.15637,0.12115,0.16657,0.14679,0.15606,17.0,8.0,14.0,5.0,15.0,17.0,14.0
87,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,average badset,[1 0 0 1 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0],0.10175,0.1109,0.15637,0.12115,0.16657,0.14679,0.15606,17.0,8.0,14.0,5.0,15.0,17.0,14.0
88,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,ward badset,[1 0 0 1 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0],0.10175,0.1109,0.15637,0.12115,0.16657,0.14679,0.15606,17.0,8.0,14.0,5.0,15.0,17.0,14.0
89,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,spectral eblock warp,[0 0 0 1 0 1 1 1 1 0 1 0 0 1 0 0 0 0 0 0],0.05067,0.0348,0.07564,0.04422,0.07826,0.0731,0.0756,30.0,26.0,36.0,23.0,36.0,30.0,36.0
90,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,affinity eblock warp,[1 1 1 0 1 0 0 0 0 1 1 1 1 0 2 3 4 5 1 1],0.21141,0.03458,0.22212,0.0339,0.16176,0.30499,0.2114,10.0,29.0,10.0,32.0,27.0,10.0,10.0
91,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,PCA eblock euclid,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0],0.1639,0.20158,0.27829,0.13072,0.32753,0.23645,0.27464,13.0,3.0,7.0,4.0,3.0,13.0,7.0
92,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,spectral eblock eucsim,[1 1 1 0 1 0 0 0 0 1 0 1 1 0 1 1 1 1 1 1],0.05067,0.0348,0.07564,0.04422,0.07826,0.0731,0.0756,30.0,21.0,36.0,23.0,36.0,30.0,36.0
93,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,affinity eblock eucsim,[0 0 0 1 0 1 0 0 1 0 1 0 0 1 1 2 3 0 0 0],0.07769,-0.02577,0.09488,-0.02903,0.08032,0.11208,0.09358,29.0,46.0,34.0,47.0,35.0,29.0,29.0
94,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,spectral eblock cosine,[0 0 0 1 0 1 1 1 1 0 1 0 0 1 1 0 1 0 0 0],0.00506,-0.03311,0.00733,-0.04442,0.00735,0.0073,0.00733,49.0,48.0,49.0,50.0,49.0,49.0,49.0
95,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,affinity eblock cosine,[ 0  1  2  9  3  4  5  5  6  7 11  8  9 10 11  1 11  9 12 13],0.52836,0.02863,0.39918,0.02678,0.20904,0.76226,0.3281,1.0,30.0,2.0,33.0,7.0,1.0,4.0
96,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,spectral eblock rbf,[1 1 1 0 1 0 0 0 0 1 0 1 1 0 1 1 1 1 1 1],0.05067,0.0348,0.07564,0.04422,0.07826,0.0731,0.0756,30.0,21.0,36.0,23.0,36.0,30.0,36.0
97,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,affinity eblock rbf,[0 0 0 1 2 1 1 1 1 0 1 2 2 1 3 4 5 0 2 2],0.23355,0.04989,0.22829,0.07767,0.15468,0.33694,0.21202,7.0,20.0,9.0,19.0,28.0,7.0,9.0
98,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,spectral eblock edr,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1],0.03597,0.0,0.09698,0.0,0.18121,0.0519,0.08069,39.0,38.0,29.0,37.0,8.0,39.0,30.0
99,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,affinity eblock edr,[0 1 3 4 2 2 3 3 1 7 4 7 5 5 5 1 3 6 0 7],0.2511,0.00405,0.21241,0.01042,0.12454,0.36226,0.18536,5.0,35.0,11.0,34.0,30.0,5.0,13.0
100,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,kmeans eblockset,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0],0.03597,0.0,0.09698,0.0,0.18121,0.0519,0.08069,39.0,38.0,29.0,37.0,8.0,39.0,30.0
101,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,complete eblockset,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0],0.03597,0.0,0.09698,0.0,0.18121,0.0519,0.08069,39.0,38.0,29.0,37.0,8.0,39.0,30.0
102,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,average eblockset,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0],0.03597,0.0,0.09698,0.0,0.18121,0.0519,0.08069,39.0,38.0,29.0,37.0,8.0,39.0,30.0
103,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,ward eblockset,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0],0.03597,0.0,0.09698,0.0,0.18121,0.0519,0.08069,39.0,38.0,29.0,37.0,8.0,39.0,30.0
104,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.7]",,spectral warp,[0 1 1 0 1 1 0 0 0 0 1 0 1 0 1 0 1 1 1 0],0.02014,-0.01041,0.02905,-0.01333,0.02905,0.02905,0.02905,51.0,50.0,51.0,51.0,51.0,51.0,51.0
105,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.7]",,aff prop,[0 1 1 0 1 1 0 0 0 0 1 0 2 0 1 1 3 4 2 0],0.1677,0.02889,0.17969,0.01131,0.13345,0.24194,0.17202,32.0,45.0,43.0,47.0,46.0,32.0,43.0
106,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.7]",,pca,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 1 0],0.1639,0.20158,0.27829,0.13072,0.32753,0.23645,0.27464,33.0,24.0,28.0,26.0,19.0,33.0,27.0
107,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.7]",,spectral overlap,[0 1 1 1 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0],0.10175,0.1109,0.15637,0.12115,0.16657,0.14679,0.15606,46.0,39.0,46.0,30.0,41.0,46.0,45.0
108,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.7]",,km_choice,[0 0 0 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0],0.21576,0.28139,0.34559,0.21918,0.38369,0.31128,0.34371,10.0,1.0,3.0,2.0,1.0,10.0,3.0
109,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.7]",,km_ent,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 1 0],0.1639,0.20158,0.27829,0.13072,0.32753,0.23645,0.27464,33.0,24.0,28.0,26.0,19.0,33.0,27.0
