,no_clust,algorithm,predictions
83,5.0,avg_hr_esk_dis,"[0 4 1 1 0 3 0 0 0 1 1 0 0 2 1 1 1 4 1 0 0 1 0 0 0 0 0 1 3 0 0 3 0 3 0 1 3
 3 0 2 2 0 3 1]"
84,5.0,comp_hr_lin_din,"[3 2 4 1 1 0 3 3 1 4 1 0 3 4 4 0 0 2 0 3 0 4 0 0 3 3 3 0 2 1 1 2 3 2 0 0 2
 2 3 4 1 0 0 0]"
85,5.0,avg_hr_lin_dis,"[0 2 3 3 0 2 0 0 1 3 0 2 0 1 3 3 4 2 3 0 0 3 2 0 0 0 0 3 2 0 1 2 0 2 0 3 2
 2 0 1 3 2 2 4]"
86,5.0,spect_edr,"[0 4 0 0 1 0 1 1 4 0 0 0 2 4 1 0 4 4 3 1 4 3 4 2 3 0 4 2 3 2 0 0 3 4 0 3 1
 2 4 4 4 0 1 0]"
87,5.0,aff_edr,"[3 3 3 3 0 0 0 0 3 3 0 3 1 3 0 3 3 3 1 0 3 0 3 1 1 3 3 1 1 1 3 0 1 2 3 1 0
 1 2 3 3 3 0 3]"
88,6.0,spectral warp,"[0 2 1 1 1 1 1 3 2 1 1 0 4 2 3 1 2 2 4 5 0 5 0 5 5 0 2 5 5 5 0 1 5 4 0 5 3
 1 4 2 2 0 0 0]"
89,6.0,aff prop,"[1 3 1 1 1 1 1 0 3 3 1 1 4 3 0 1 3 3 2 5 3 5 3 4 5 1 3 4 5 4 1 1 5 4 1 5 0
 5 6 3 3 0 0 1]"
90,6.0,pca,"[1 1 1 1 0 1 1 0 0 1 1 1 0 1 1 1 1 1 0 0 1 1 1 0 1 0 1 0 1 0 1 1 0 0 1 1 1
 0 0 0 1 1 1 1]"
91,6.0,spectral overlap,"[0 2 2 1 0 0 2 1 0 0 2 0 0 0 2 0 0 2 5 5 0 4 2 3 4 0 0 2 4 1 0 1 2 3 0 2 0
 1 0 2 0 0 0 0]"
92,6.0,km_choice,"[2 2 2 3 4 3 1 1 2 3 2 2 1 0 3 3 3 2 3 1 5 3 2 2 1 2 2 3 1 4 5 2 1 4 2 3 2
 2 1 2 5 3 4 2]"
93,6.0,km_ent,"[1 1 0 1 0 1 1 0 0 1 0 1 2 1 1 1 1 1 5 0 1 1 1 4 4 0 1 4 4 4 1 1 4 2 1 4 4
 3 2 0 1 1 1 0]"
94,6.0,km_con,"[2 5 0 5 2 5 2 1 2 5 5 5 2 5 5 0 0 0 4 2 3 5 2 2 2 1 2 5 2 2 3 5 2 2 2 5 5
 2 2 1 3 5 5 0]"
95,6.0,spect_cos_cat,"[2 0 0 3 5 4 4 4 2 2 1 4 3 0 4 2 3 0 5 3 4 4 4 2 2 1 2 3 2 5 3 1 2 3 2 3 1
 4 3 2 3 4 5 1]"
96,6.0,aff_cos_cat,"[1 1 1 1 1 0 0 0 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 0 1 0 1 0
 1 1 1 1 1 1 0]"
97,6.0,spect_cos_ent,"[3 3 3 3 4 1 1 2 4 3 5 3 0 3 3 3 5 3 4 2 3 1 3 5 1 2 3 1 1 3 3 3 0 5 0 1 3
 4 5 2 3 3 3 2]"
98,6.0,aff_cos_ent,"[0 0 3 0 2 1 0 6 2 0 3 0 1 0 0 0 3 0 4 5 0 8 0 8 8 6 0 8 8 8 0 0 1 7 0 8 0
 9 3 6 0 0 0 1]"
99,6.0,spect_rbf,"[1 1 3 1 3 5 1 4 3 1 1 1 2 1 5 1 1 1 2 4 1 0 1 2 0 4 1 2 0 2 5 1 5 2 5 0 5
 3 2 4 1 5 5 4]"
100,6.0,spect_esk_sim,"[3 3 1 1 3 4 3 5 1 1 4 5 2 1 1 4 3 5 4 2 3 4 5 5 2 5 3 4 0 3 1 0 2 0 4 4 0
 0 2 1 3 5 0 5]"
101,6.0,aff_esk_sim,"[4 3 1 1 4 3 0 0 0 4 1 3 4 5 1 1 3 4 1 0 4 1 0 4 0 0 4 1 2 4 5 3 0 2 1 1 3
 2 4 3 5 1 2 1]"
102,6.0,spect_lin_sim,"[3 1 0 0 3 1 3 5 0 0 2 5 4 0 0 2 3 5 2 4 3 2 5 5 5 5 3 2 1 3 0 1 5 1 5 2 1
 1 4 0 3 5 1 5]"
103,6.0,aff_lin_sim,"[5 0 1 1 5 4 2 2 2 1 1 0 5 6 1 4 4 0 4 2 6 1 2 5 2 2 6 4 3 5 6 3 3 3 2 4 3
 3 5 3 6 1 3 4]"
104,6.0,comp_hr_esk_dis,"[0 0 0 0 3 1 2 2 0 0 3 5 2 0 0 3 3 0 3 2 5 3 5 3 2 2 2 3 4 3 0 1 2 4 3 3 1
 4 0 0 0 5 1 1]"
105,6.0,avg_hr_esk_dis,"[0 4 1 1 0 3 0 0 0 1 1 5 0 2 1 1 1 4 1 0 5 1 5 0 0 0 0 1 3 0 0 3 0 3 0 1 3
 3 0 2 2 5 3 1]"
106,6.0,comp_hr_lin_din,"[1 5 4 0 0 2 1 1 0 4 0 3 1 4 4 2 2 5 2 1 3 4 3 3 1 1 1 2 5 0 0 5 1 5 3 2 5
 5 1 4 0 3 2 2]"
107,6.0,avg_hr_lin_dis,"[2 0 3 3 2 0 2 2 1 3 5 0 2 1 3 3 4 0 3 2 5 3 0 2 2 2 2 3 0 2 1 0 2 0 2 3 0
 0 2 1 3 0 0 4]"
108,6.0,spect_edr,"[0 1 0 5 4 0 4 4 1 0 0 0 2 1 4 0 1 1 3 4 1 3 5 2 3 0 1 2 3 2 5 0 3 5 0 3 4
 2 5 1 1 0 4 0]"
109,6.0,aff_edr,"[3 3 3 3 0 0 0 0 3 3 0 3 1 3 0 3 3 3 1 0 3 0 3 1 1 3 3 1 1 1 3 0 1 2 3 1 0
 1 2 3 3 3 0 3]"
110,7.0,spectral warp,"[3 1 4 3 4 3 3 2 4 3 4 4 6 1 2 4 1 1 6 0 5 0 5 0 0 4 1 0 0 0 3 4 0 6 5 0 2
 0 6 1 1 5 5 5]"
111,7.0,aff prop,"[1 3 1 1 1 1 1 0 3 3 1 1 4 3 0 1 3 3 2 5 3 5 3 4 5 1 3 4 5 4 1 1 5 4 1 5 0
 5 6 3 3 0 0 1]"
