,mu,sigma,trials,cluster size,decision,alpha,tau,epsilon,clustering,labels,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas,mut inf scr1,adj mis1,norm mis1,adj rand s1,complet1,homogen1,vmeas1
125,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.7]","[0.7, 0.7]",,aff_edr,[0 2 1 0 0 2 1 1 1 2 2 0 0 0 2 0 1 2 0 0],0.07367,0.01632,0.08566,0.02372,0.06904,0.10628,0.08371,27.0,27.0,31.0,22.0,35.0,27.0,28.0
126,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.7]","[0.7, 0.7]",,spectral bad warp,[0 1 1 0 1 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0],0.05067,0.0348,0.07564,0.04422,0.07826,0.0731,0.0756,30.0,24.0,32.0,15.0,31.0,30.0,32.0
127,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.7]","[0.7, 0.7]",,affinity bad warp,[0 1 2 0 1 0 0 2 2 0 0 0 0 0 3 3 0 0 0 2],0.17316,0.07271,0.19932,0.02018,0.15903,0.24982,0.19434,10.0,11.0,11.0,28.0,22.0,10.0,11.0
128,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.7]","[0.7, 0.7]",,PCA bad euclid,[1 0 0 1 0 1 1 0 0 1 1 1 1 1 0 0 1 1 1 1],0.05067,0.0348,0.07564,0.04422,0.07826,0.0731,0.0756,30.0,23.0,32.0,15.0,31.0,30.0,32.0
129,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.7]","[0.7, 0.7]",,spectral bad eucsim,[1 0 0 1 0 1 1 0 0 1 1 1 1 1 0 0 1 0 1 0],0.00506,-0.03311,0.00733,-0.04442,0.00735,0.0073,0.00733,50.0,41.0,50.0,49.0,50.0,50.0,50.0
130,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.7]","[0.7, 0.7]",,affinity bad eucsim,[2 0 1 2 0 2 4 1 1 2 2 4 2 4 3 1 4 4 4 2],0.20649,0.05836,0.20737,0.05705,0.14434,0.29791,0.19447,6.0,19.0,10.0,13.0,24.0,6.0,10.0
131,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.7]","[0.7, 0.7]",,spectral bad cosine,[1 0 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1],0.00997,-0.0342,0.01841,-0.01731,0.02358,0.01438,0.01786,42.0,48.0,42.0,40.0,42.0,42.0,42.0
132,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.7]","[0.7, 0.7]",,affinity bad cosine,[0 1 3 0 2 0 0 3 3 0 0 0 0 0 4 0 0 0 0 0],0.23692,0.11431,0.28693,0.09424,0.24087,0.3418,0.28259,3.0,6.0,2.0,12.0,3.0,3.0,2.0
133,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.7]","[0.7, 0.7]",,spectral bad rbf,[0 1 1 0 1 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0],0.05067,0.0348,0.07564,0.04422,0.07826,0.0731,0.0756,30.0,24.0,32.0,15.0,31.0,30.0,32.0
134,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.7]","[0.7, 0.7]",,affinity bad rbf,[0 1 2 0 1 0 0 2 2 0 0 0 0 0 3 2 0 0 0 0],0.1476,0.05203,0.17891,0.03677,0.15031,0.21294,0.17623,14.0,20.0,13.0,20.0,23.0,14.0,12.0
135,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.7]","[0.7, 0.7]",,spectral bad edr,[1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1],0.00997,-0.0342,0.01841,-0.01731,0.02358,0.01438,0.01786,42.0,48.0,42.0,40.0,42.0,42.0,42.0
136,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.7]","[0.7, 0.7]",,affinity bad edr,[0 1 2 4 6 0 2 2 3 2 4 2 5 5 5 3 2 6 0 3],0.17261,-0.02069,0.15346,-0.00691,0.09457,0.24902,0.13708,11.0,39.0,23.0,36.0,28.0,11.0,23.0
137,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.7]","[0.7, 0.7]",,kmeans badset,[0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.07488,0.05993,0.15775,0.02146,0.23035,0.10803,0.14708,22.0,14.0,14.0,23.0,4.0,22.0,18.0
138,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.7]","[0.7, 0.7]",,complete badset,[0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.07488,0.05993,0.15775,0.02146,0.23035,0.10803,0.14708,22.0,14.0,14.0,23.0,4.0,22.0,18.0
139,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.7]","[0.7, 0.7]",,average badset,[0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.07488,0.05993,0.15775,0.02146,0.23035,0.10803,0.14708,22.0,14.0,14.0,23.0,4.0,22.0,18.0
140,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.7]","[0.7, 0.7]",,ward badset,[0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.07488,0.05993,0.15775,0.02146,0.23035,0.10803,0.14708,22.0,14.0,14.0,23.0,4.0,22.0,18.0
141,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.7]","[0.7, 0.7]",,spectral eblock warp,[0 0 1 0 0 0 0 0 1 0 0 1 0 1 1 1 1 1 1 1],0.19274,0.24873,0.27807,0.32444,0.27807,0.27807,0.27807,9.0,2.0,3.0,2.0,2.0,9.0,3.0
142,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.7]","[0.7, 0.7]",,affinity eblock warp,[0 0 2 0 0 0 0 0 1 0 0 1 0 1 2 1 1 1 2 2],0.19531,0.14086,0.23119,0.22973,0.18969,0.28177,0.22674,8.0,5.0,7.0,3.0,11.0,8.0,4.0
143,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.7]","[0.7, 0.7]",,PCA eblock euclid,[1 1 0 1 1 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0],0.20504,0.267,0.3002,0.32594,0.30466,0.29581,0.30017,7.0,1.0,1.0,1.0,1.0,7.0,1.0
144,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.7]","[0.7, 0.7]",,spectral eblock eucsim,[1 0 0 1 1 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0],0.1484,0.18162,0.22152,0.21227,0.22921,0.21409,0.22139,12.0,3.0,8.0,4.0,9.0,12.0,7.0
145,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.7]","[0.7, 0.7]",,affinity eblock eucsim,[3 3 0 3 3 3 3 3 1 2 2 0 3 1 0 1 5 2 4 5],0.25601,0.06026,0.24308,0.15217,0.15998,0.36934,0.22325,1.0,13.0,4.0,6.0,21.0,1.0,6.0
146,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.7]","[0.7, 0.7]",,spectral eblock cosine,[0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0],0.00997,-0.0342,0.01841,-0.01731,0.02358,0.01438,0.01786,42.0,48.0,42.0,40.0,42.0,42.0,42.0
147,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.7]","[0.7, 0.7]",,affinity eblock cosine,[0 0 3 0 0 0 0 1 2 0 0 3 0 2 3 2 1 0 4 4],0.12745,-0.00722,0.13049,0.04084,0.09261,0.18387,0.12317,15.0,37.0,24.0,19.0,29.0,15.0,24.0
148,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.7]","[0.7, 0.7]",,spectral eblock rbf,[0 0 1 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 1 1],0.1484,0.18162,0.22152,0.21227,0.22921,0.21409,0.22139,12.0,3.0,8.0,4.0,9.0,12.0,7.0
149,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.7]","[0.7, 0.7]",,affinity eblock rbf,[1 1 0 1 1 1 1 1 2 3 3 0 1 2 0 2 5 3 4 5],0.25601,0.06026,0.24308,0.15217,0.15998,0.36934,0.22325,1.0,12.0,4.0,6.0,20.0,1.0,5.0
150,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.7]","[0.7, 0.7]",,spectral eblock edr,[1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],0.03597,0.0,0.09698,0.0,0.18121,0.0519,0.08069,34.0,33.0,28.0,32.0,12.0,34.0,29.0
151,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.7]","[0.7, 0.7]",,affinity eblock edr,[0 1 3 5 2 2 3 3 4 3 5 2 6 6 6 4 3 0 0 4],0.2123,0.00496,0.18673,0.02424,0.11384,0.30628,0.16599,5.0,29.0,12.0,21.0,25.0,5.0,13.0
152,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.7]","[0.7, 0.7]",,kmeans eblockset,[0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 1 1],0.10175,0.1109,0.15637,0.12115,0.16657,0.14679,0.15606,19.0,10.0,19.0,8.0,17.0,19.0,16.0
153,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.7]","[0.7, 0.7]",,complete eblockset,[1 1 0 1 1 1 1 1 1 1 1 0 1 1 0 1 0 1 0 0],0.10175,0.1109,0.15637,0.12115,0.16657,0.14679,0.15606,17.0,7.0,19.0,8.0,15.0,17.0,14.0
154,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.7]","[0.7, 0.7]",,average eblockset,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0],0.03597,0.0,0.09698,0.0,0.18121,0.0519,0.08069,34.0,33.0,28.0,32.0,12.0,34.0,29.0
155,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.7]","[0.7, 0.7]",,ward eblockset,[1 1 0 1 1 1 1 1 1 1 1 0 1 1 0 1 0 1 0 0],0.10175,0.1109,0.15637,0.12115,0.16657,0.14679,0.15606,17.0,7.0,19.0,8.0,15.0,17.0,14.0
156,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.9]","[0.7, 0.7]",,spectral warp,[1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0],0.1639,0.20158,0.27829,0.13072,0.32753,0.23645,0.27464,18.0,5.0,13.0,10.0,5.0,18.0,13.0
157,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.9]","[0.7, 0.7]",,aff prop,[1 0 0 1 0 1 1 1 1 2 2 2 2 2 2 2 2 2 2 1],0.38706,0.34826,0.46524,0.45531,0.38762,0.55842,0.4576,3.0,4.0,2.0,2.0,4.0,3.0,2.0
158,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.9]","[0.7, 0.7]",,pca,[1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0],0.1639,0.20158,0.27829,0.13072,0.32753,0.23645,0.27464,18.0,5.0,13.0,10.0,5.0,18.0,13.0
159,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.9]","[0.7, 0.7]",,spectral overlap,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0],0.03597,0.0,0.09698,0.0,0.18121,0.0519,0.08069,37.0,36.0,37.0,35.0,28.0,37.0,37.0
160,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.9]","[0.7, 0.7]",,km_choice,[1 1 1 0 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1],0.11728,0.12825,0.21666,0.0649,0.27744,0.16919,0.2102,22.0,13.0,17.0,17.0,7.0,22.0,17.0
161,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.9]","[0.7, 0.7]",,km_ent,[1 0 0 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0],0.27436,0.3704,0.42163,0.3304,0.44913,0.39582,0.42079,10.0,3.0,3.0,3.0,2.0,10.0,3.0
162,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.9]","[0.7, 0.7]",,km_con,[0 1 1 0 1 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1],0.27436,0.3704,0.42163,0.3304,0.44913,0.39582,0.42079,10.0,2.0,3.0,3.0,2.0,10.0,3.0
163,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.9]","[0.7, 0.7]",,spect_cos_cat,[0 0 0 1 0 1 0 0 1 0 1 0 0 1 0 0 1 0 0 0],0.0,-0.04207,0.0,-0.04626,0.0,0.0,0.0,50.0,51.0,50.0,50.0,50.0,50.0,50.0
164,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.9]","[0.7, 0.7]",,aff_cos_cat,[0 0 0 0 0 0 0 0 0 0 2 0 1 2 0 0 2 0 0 3],0.21576,0.15994,0.28976,0.14301,0.26973,0.31128,0.28902,16.0,7.0,12.0,7.0,13.0,16.0,11.0
165,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.9]","[0.7, 0.7]",,spect_cos_ent,[0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 1],0.0067,-0.0333,0.01073,-0.03068,0.01192,0.00967,0.01068,41.0,49.0,41.0,41.0,41.0,41.0,41.0
