,mu,sigma,trials,cluster size,decision,alpha,tau,epsilon,clustering,labels,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas,mut inf scr1,adj mis1,norm mis1,adj rand s1,complet1,homogen1,vmeas1
79,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,spectral bad cosine,[0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0],0.0,-0.04567,0.0,-0.03486,0.0,0.0,0.0,52.0,47.0,52.0,40.0,52.0,52.0,52.0
80,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,affinity bad cosine,[1 0 1 2 1 1 1 1 2 1 1 0 1 1 1 1 1 2 2 3],0.03658,-0.07411,0.04434,-0.04791,0.03726,0.05278,0.04368,32.0,49.0,34.0,46.0,32.0,32.0,32.0
81,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,spectral bad rbf,[0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 1],0.0067,-0.0333,0.01073,-0.03068,0.01192,0.00967,0.01068,38.0,36.0,38.0,31.0,38.0,38.0,38.0
82,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,affinity bad rbf,[1 0 1 2 1 1 1 1 2 1 1 0 1 1 1 1 1 2 2 3],0.03658,-0.07411,0.04434,-0.04791,0.03726,0.05278,0.04368,32.0,49.0,34.0,46.0,32.0,32.0,32.0
83,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,spectral bad edr,[1 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0],0.1484,0.18162,0.22152,0.21227,0.22921,0.21409,0.22139,15.0,9.0,9.0,1.0,10.0,15.0,9.0
84,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,affinity bad edr,[0 1 3 4 2 2 3 3 1 6 4 6 5 5 5 1 3 0 0 6],0.22493,0.0116,0.19495,0.01156,0.11711,0.32451,0.17211,1.0,23.0,14.0,23.0,20.0,1.0,15.0
85,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,kmeans badset,[0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 1],0.0067,-0.0333,0.01073,-0.03068,0.01192,0.00967,0.01068,38.0,36.0,38.0,31.0,38.0,38.0,38.0
86,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,complete badset,[1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 0 0 0],0.0067,-0.0333,0.01073,-0.03068,0.01192,0.00967,0.01068,38.0,36.0,38.0,31.0,38.0,38.0,38.0
87,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,average badset,[1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 0 0 0],0.0067,-0.0333,0.01073,-0.03068,0.01192,0.00967,0.01068,38.0,36.0,38.0,31.0,38.0,38.0,38.0
88,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,ward badset,[1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 0 0 0],0.0067,-0.0333,0.01073,-0.03068,0.01192,0.00967,0.01068,38.0,36.0,38.0,31.0,38.0,38.0,38.0
89,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,spectral eblock warp,[1 0 0 1 0 0 0 0 1 1 1 0 1 0 0 0 1 1 1 1],0.02014,-0.01041,0.02905,-0.01333,0.02905,0.02905,0.02905,36.0,28.0,36.0,28.0,36.0,36.0,36.0
90,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,affinity eblock warp,[2 3 0 1 3 3 0 3 1 2 2 3 1 3 3 3 4 1 1 0],0.05668,-0.05677,0.05689,-0.06157,0.03958,0.08177,0.05334,22.0,48.0,29.0,50.0,31.0,22.0,29.0
91,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,PCA eblock euclid,[0 1 1 0 1 1 1 1 0 0 0 1 0 1 1 1 0 0 0 0],0.02014,-0.01041,0.02905,-0.01333,0.02905,0.02905,0.02905,36.0,28.0,36.0,28.0,36.0,36.0,36.0
92,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,spectral eblock eucsim,[1 0 0 1 0 0 0 0 1 1 1 1 1 0 0 0 1 1 1 1],0.0462,0.02866,0.0669,0.03998,0.06714,0.06665,0.0669,26.0,21.0,27.0,20.0,26.0,26.0,27.0
