,mu,sigma,trials,cluster size,decision,alpha,tau,epsilon,clustering,MI-M,ADMI-M,NMI-M,ARI-M,CO-M,HO-M,VM-M,MI-S,ADMI-S,NMI-S,ARI-S,CO-S,HO-S,VM-S,MI-MR,ADMI-MR,NMI-MR,ARI-MR,CO-MR,HO-MR,VM-MR
37,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,spectral eblock warp,0.0533702948244,0.0387032259366,0.0806075580781,0.0407202754555,0.0844780338399,0.0769970596739,0.0804780064366,0.0672663703645,0.100956377949,0.102532938521,0.102914332617,0.108481848415,0.0970448589435,0.10235658609,29,16,32,17,32,29,29
38,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,affinity eblock warp,0.178017416855,0.0344800000329,0.173680747095,0.0350651023072,0.117969740906,0.256824844489,0.161036061382,0.133419687312,0.0811179973606,0.122602997306,0.0785905907265,0.0783400012381,0.192483921242,0.111325023716,1,19,1,19,15,1,2
39,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,PCA eblock euclid,0.0680684574043,0.0587071262331,0.108063419228,0.0566056657476,0.120815260138,0.0982020259381,0.106787315541,0.0802383647802,0.121403302419,0.124505247118,0.114783229482,0.13604274532,0.115759490957,0.124108691345,24,8,21,8,12,24,21
40,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,spectral eblock eucsim,0.0525242422773,0.0373032688803,0.0791591009287,0.0419078450557,0.0833013173791,0.0757764638599,0.0787897319661,0.0854872524025,0.128241148409,0.12559588387,0.155486882053,0.129690543572,0.1233320351,0.125240933328,30,18,33,16,33,30,31
41,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,affinity eblock eucsim,0.146725436557,0.0255430677394,0.153286473544,0.018443049776,0.111728145992,0.211680059692,0.145389153276,0.0835487827637,0.082354506315,0.0941188707126,0.0770780310568,0.0754497154213,0.120535414566,0.091509455725,4,23,3,28,20,4,3
42,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,spectral eblock cosine,0.042990335905,0.0223552664471,0.068695549931,0.0181875664621,0.0768630550231,0.0620219444163,0.0679690331873,0.0447699291816,0.0661790069476,0.0749154696316,0.0692750181442,0.0895319011195,0.0645893548112,0.0735598343822,37,27,38,29,37,37,38
43,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,affinity eblock cosine,0.123514905867,0.00185408244002,0.131733754557,-0.00584555994235,0.0979634725487,0.178194342171,0.125738329579,0.0669480426975,0.0495715590649,0.0686438006725,0.0461297735248,0.0512301982669,0.096585609197,0.0650340581258,10,43,11,48,23,10,10
44,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,spectral eblock rbf,0.0500693944284,0.0339249561377,0.0745206197921,0.0344879487983,0.0769825228229,0.0722348670421,0.0744332094933,0.0945701443636,0.141997445166,0.138709761729,0.152907504436,0.1410996097,0.136435878289,0.138685468818,32,20,37,20,36,32,36
45,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,affinity eblock rbf,0.139379816178,0.0303864942245,0.149964438391,0.0203097012751,0.112559114815,0.201082569601,0.143470481844,0.0725478414338,0.0756327497331,0.0839380585694,0.0676035282643,0.0690558337492,0.104664411064,0.0821459436111,5,21,4,27,19,5,4
46,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,spectral eblock edr,0.0313861618283,0.0054942892568,0.0476536033507,0.00647153753358,0.0502086359152,0.0452806600223,0.0475629367771,0.0308380522643,0.046209101343,0.0471280825362,0.0540486771727,0.0500787325174,0.0444899050723,0.0470239379256,46,38,47,36,48,46,46
47,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,affinity eblock edr,0.101274122196,-0.00800055448225,0.0986244187553,-0.00432509556931,0.216733211469,0.146107673862,0.0914284684595,0.0789945382904,0.0408588675806,0.076106095372,0.041178206531,0.340246528214,0.113965028649,0.0703900649113,15,52,26,46,1,15,27
48,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,kmeans eblockset,0.068327756752,0.0605247163124,0.106685957977,0.0566901714645,0.117688482953,0.0985761158211,0.105414551426,0.0999394320306,0.149983843842,0.149980085009,0.153970269741,0.158705230204,0.14418212298,0.149655959269,23,6,24,7,16,23,22
49,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,complete eblockset,0.0677357264964,0.0551930481916,0.116801348434,0.0543312967289,0.146894884239,0.0977219967073,0.112040436363,0.0925784803219,0.1406301435,0.135798923083,0.146127813566,0.144273070745,0.133562514453,0.135888896651,25,10,15,10,5,25,17
50,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,average eblockset,0.0344684936498,-0.00150417703569,0.0885088724044,-0.00209818305572,0.15894521919,0.0497275248555,0.0752251071495,0.019007869382,0.0278379873493,0.0424052306851,0.0139897120364,0.0701222978977,0.0274225588952,0.0382176410166,44,46,29,44,2,44,34
51,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,ward eblockset,0.0691465998788,0.0604095777031,0.111003387843,0.0558025643928,0.126459009712,0.0997574567395,0.109113712181,0.098554478609,0.14829870505,0.147778750308,0.151595913111,0.157294351324,0.142184057547,0.14736920409,22,7,19,9,10,22,20
52,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,levenstein,0.0445924545029,0.0258356357301,0.0667239559853,0.0252985402615,0.0693194691765,0.0643333129724,0.0666220436576,0.0768233320821,0.115250551055,0.115946809342,0.130245420605,0.121848946528,0.110832640219,0.115703577882,35,22,40,24,40,35,40
53,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.5]","[2, 2]",,spectral warp,0.12718303329,0.149743336067,0.190751425083,0.166329911682,0.19876675004,0.183486331413,0.190379431218,0.0785266521026,0.117705920359,0.12161712523,0.117516145194,0.131696504945,0.113290011566,0.121195948967,16,3,8,3,6,16,5
54,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.5]","[2, 2]",,aff prop,0.232676619436,0.0858001340064,0.236350389368,0.0734315805692,0.166852951814,0.335681404991,0.222378949929,0.0926175838735,0.069022651064,0.0889099119922,0.0615291825419,0.0598127925459,0.133618928953,0.0823734988678,1,13,2,17,11,1,2
55,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.5]","[2, 2]",,pca,0.0973032364172,0.0996963720398,0.165656706135,0.0922167596294,0.203766829794,0.140378896642,0.160117851857,0.0847794902287,0.130179678596,0.123544317911,0.132620065329,0.126748267794,0.122310950122,0.125494786303,20,6,12,12,5,20,12
56,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.5]","[2, 2]",,spectral overlap,0.0367167973517,0.0138353430721,0.0540958368284,0.019446120489,0.0552692456129,0.0529711414566,0.0540715235766,0.0424493947707,0.0639734769285,0.0623324683179,0.0791526520515,0.0634823479421,0.0612415313245,0.062318262086,50,45,50,41,51,50,50
57,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.5]","[2, 2]",,km_choice,0.0933483368882,0.0971860734914,0.14770308965,0.0938752120477,0.164573016556,0.134673182704,0.145968939813,0.088997975181,0.134094851121,0.136398818575,0.131065923444,0.147764386866,0.128396937443,0.136133746372,21,7,19,11,13,21,16
58,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.5]","[2, 2]",,km_ent,0.127063564741,0.14606166764,0.207505984474,0.136903683589,0.241580047697,0.183313974729,0.203233667568,0.0753732618571,0.116248437244,0.110008514143,0.110736875836,0.110716438125,0.108740631097,0.112802715609,17,4,3,4,3,17,4
59,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.5]","[2, 2]",,km_con,0.16194147073,0.200962041473,0.247624391149,0.205404744115,0.263723942202,0.233632156737,0.246613069728,0.0966968480103,0.146011994804,0.144138481602,0.145515579222,0.150138202244,0.139504063094,0.14430766293,8,1,1,1,2,8,1
